,Name,Team,GP,MPG,ORPM,DRPM,RPM,WINS
141,"Jared Sullinger, C",BOS,74,27.6,-0.25,1.58,1.33,4.69
142,"Michael Kidd-Gilchrist, SF",CHA,62,24.2,-0.78,2.07,1.29,3.26
143,"David Lee, PF",GS,69,33.2,-0.13,1.35,1.22,5.24
144,"Brandan Wright, PF",DAL,58,18.6,1.62,-0.43,1.19,2.29
145,"Ryan Anderson, PF",NO,22,36.1,3.04,-1.87,1.17,1.69
146,"Greivis Vasquez, PG",SAC/TOR,79,22.5,1.41,-0.25,1.16,3.70
147,"Corey Brewer, SF",MIN,81,32.2,2.03,-0.89,1.14,6.03
148,"Shane Battier, SF",MIA,73,20.1,-0.20,1.32,1.12,3.12
149,"CJ Miles, SF",CLE,51,19.3,0.89,0.21,1.10,2.12
150,"Josh Harrellson, C",DET,32,9.9,-2.31,3.39,1.08,0.68
151,"JR Smith, SG",NY,74,32.7,1.82,-0.75,1.07,4.82
152,"Al-Farouq Aminu, PF",NO,80,25.6,-1.01,2.07,1.06,4.25
153,"Pau Gasol, C",LAL,60,31.4,-0.16,1.20,1.04,4.24
154,"Lance Stephenson, SG",IND,78,35.3,0.90,0.14,1.04,5.66
155,"Kosta Koufos, C",MEM,80,16.9,-1.67,2.67,1.00,2.71
156,"Andrei Kirilenko, SF",BKN,45,19.0,-0.20,1.18,0.98,1.73
157,"Kenyon Martin, PF",NY,32,19.8,-2.86,3.83,0.97,1.24
158,"Trevor Ariza, SF",WSH,77,35.4,-0.10,1.04,0.94,5.47
159,"Ryan Kelly, PF",LAL,59,22.2,1.95,-1.01,0.94,2.86
160,"Jeff Withey, C",NO,58,11.8,-0.79,1.70,0.91,1.37
161,"Jameer Nelson, PG",ORL,68,32.0,2.78,-1.89,0.89,4.29
162,"Raymond Felton, PG",NY,65,31.0,2.13,-1.24,0.89,3.85
163,"Landry Fields, SG",TOR,30,10.7,-0.60,1.47,0.87,0.63
164,"Kyle O'Quinn, C",ORL,69,17.2,-0.58,1.44,0.86,2.36
165,"Shavlik Randolph, PF",PHX,14,6.8,-0.48,1.31,0.83,0.19
166,"DeMarcus Cousins, C",SAC,71,32.4,-1.10,1.86,0.76,4.45
167,"Derek Fisher, PG",OKC,81,17.6,-1.21,1.95,0.74,2.76
168,"Nikola Vucevic, C",ORL,57,31.8,-1.67,2.40,0.73,3.43
169,"Robbie Hummel, SF",MIN,53,12.4,0.13,0.53,0.66,1.23
170,"Thabo Sefolosha, SF",OKC,61,26.0,-1.32,1.95,0.63,3.03
171,"Josh McRoberts, PF",CHA,78,30.3,0.03,0.59,0.62,4.12
172,"Chuck Hayes, PF",SAC/TOR,61,12.3,-1.84,2.44,0.60,1.36
173,"Gordon Hayward, SF",UTAH,77,36.4,2.17,-1.59,0.58,4.99
174,"Andre Drummond, C",DET,81,32.3,0.58,-0.06,0.52,4.71
175,"JJ Redick, SF",LAC,35,28.2,3.37,-2.86,0.51,1.81
176,"Gustavo Ayon, PF",ATL,26,16.5,-1.96,2.46,0.50,0.73
177,"Nicolas Batum, SG",POR,82,36.0,1.43,-0.95,0.48,5.20
178,"Darius Miller, SF",NO,45,16.1,-1.02,1.45,0.43,1.22
179,"Steve Nash, PG",LAL,15,20.9,1.58,-1.20,0.38,0.58
180,"Gerald Wallace, SF",BOS,58,24.4,-2.02,2.39,0.37,2.39
181,"Ryan Hollins, C",LAC,61,7.9,-3.62,3.91,0.29,0.81
182,"Zaza Pachulia, C",MIL,53,25.0,-1.45,1.71,0.26,2.12
183,"Wesley Matthews, SG",POR,82,33.9,1.26,-1.08,0.18,4.35
184,"Timofey Mozgov, C",DEN,82,21.6,-1.18,1.35,0.17,2.92
185,"Kenneth Faried, PF",DEN,80,27.2,1.34,-1.17,0.17,3.58
186,"Chris Kaman, C",LAL,39,18.9,-2.41,2.57,0.16,1.23
187,"Nate Robinson, PG",DEN,44,19.7,2.00,-1.89,0.11,1.34
188,"Jeremy Lin, PG",HOU,71,28.9,-0.19,0.28,0.09,3.20
189,"Ekpe Udoh, C",MIL,42,19.1,-2.77,2.83,0.06,1.16
190,"Nate Wolters, PG",MIL,58,22.6,-1.53,1.57,0.04,1.92
191,"Markieff Morris, PF",PHX,81,26.6,0.53,-0.55,-0.02,3.20
192,"Marvin Williams, PF",UTAH,66,25.4,-0.32,0.25,-0.07,2.31
193,"Darrell Arthur, PF",DEN,68,17.1,-2.47,2.40,-0.07,1.72
194,"Dion Waiters, SG",CLE,70,29.6,1.38,-1.45,-0.07,2.87
195,"A.J. Price, PG",MIN,28,3.5,0.03,-0.12,-0.09,0.14
196,"Brandon Davies, PF",PHI,51,11.3,-0.96,0.80,-0.16,0.81
197,"DeMar DeRozan, SG",TOR,79,38.2,0.45,-0.62,-0.17,3.92
198,"PJ Tucker, SF",PHX,81,30.7,-0.25,0.05,-0.20,3.41
199,"Andray Blatche, C",BKN,73,22.2,-0.63,0.42,-0.21,2.11
200,"Alec Burks, SG",UTAH,78,28.1,1.43,-1.68,-0.25,2.82
201,"Aron Baynes, C",SA,53,9.3,-1.56,1.30,-0.26,0.65
202,"James Jones, SG",MIA,20,11.8,-0.84,0.55,-0.29,0.28
203,"Courtney Lee, SG",BOS/MEM,79,25.0,0.51,-0.80,-0.29,2.41
204,"Marcus Morris, PF",PHX,82,22.0,0.49,-0.78,-0.29,2.34
205,"Ersan Ilyasova, PF",MIL,55,26.9,-0.25,-0.07,-0.32,1.83
206,"Jeff Ayres, PF",SA,73,13.0,-1.01,0.69,-0.32,1.23
207,"Andrew Bynum, C",CLE/IND,26,19.8,-2.89,2.55,-0.34,0.65
208,"Shelvin Mack, PG",ATL,73,20.4,0.86,-1.20,-0.34,1.84
209,"Jason Smith, PF",NO,31,26.8,-1.72,1.36,-0.36,1.00
210,"Evan Fournier, SF",DEN,76,19.8,-0.73,0.37,-0.36,1.97
211,"Samuel Dalembert, C",DAL,80,20.2,-3.48,3.10,-0.38,1.97
212,"Wilson Chandler, SF",DEN,62,31.1,-0.45,0.06,-0.39,2.46
213,"Jodie Meeks, SG",LAL,77,33.2,1.53,-1.94,-0.41,3.28
214,"Joel Anthony, PF",BOS/MIA,33,5.6,-2.34,1.85,-0.49,0.22
215,"Chris Douglas-Roberts, SG",CHA,49,20.7,-0.70,0.19,-0.51,1.08
216,"Bradley Beal, SG",WSH,73,34.7,-0.61,0.08,-0.53,2.76
217,"Hedo Turkoglu, SF",LAC,38,10.3,-0.99,0.45,-0.54,0.45
218,"Kirk Hinrich, SG",CHI,73,29.0,-1.52,0.98,-0.54,2.22
219,"Luc Mbah a Moute, PF",MIN/SAC,64,15.7,-1.81,1.25,-0.56,1.11
220,"Victor Oladipo, SG",ORL,80,31.1,-1.53,0.97,-0.56,2.73
221,"Tyler Zeller, C",CLE,70,15.0,-2.06,1.49,-0.57,1.16
222,"Ray Allen, SG",MIA,73,26.5,2.38,-2.96,-0.58,2.02
223,"Jared Dudley, SF",LAC,74,23.4,-0.74,0.15,-0.59,1.93
224,"Shaun Livingston, PG",BKN,76,26.0,-0.11,-0.49,-0.60,2.05
225,"Nick Calathes, SG",MEM,71,16.5,-0.71,0.11,-0.60,1.22
226,"Jamal Crawford, SG",LAC,69,30.3,1.75,-2.38,-0.63,2.30
227,"Chase Budinger, SF",MIN,41,18.3,0.21,-0.84,-0.63,0.80
228,"Al Harrington, PF",WSH,34,15.0,-0.77,0.13,-0.64,0.53
229,"Alexey Shved, PG",MIN,63,10.5,-0.23,-0.47,-0.70,0.68
230,"Luigi Datome, SF",DET,34,7.0,-0.87,0.14,-0.73,0.24
231,"Kevin Martin, SG",MIN,68,32.0,1.25,-2.00,-0.75,2.28
232,"Quincy Pondexter, SG",MEM,15,18.0,0.04,-0.80,-0.76,0.26
233,"Jason Maxiell, PF",ORL,34,14.4,-3.25,2.48,-0.77,0.48
234,"Toure' Murry, SF",NY,51,7.3,-0.66,-0.11,-0.77,0.37
235,"C.J. Watson, PG",IND,63,18.9,0.15,-0.93,-0.78,1.17
236,"Luke Babbitt, SF",NO,27,17.5,1.01,-1.83,-0.82,0.43
237,"Kentavious Caldwell-Pope, SG",DET,80,19.8,-1.80,0.98,-0.82,1.55
238,"Donatas Motiejunas, PF",HOU,62,15.4,-1.37,0.53,-0.84,0.94
239,"Martell Webster, SF",WSH,78,27.7,1.97,-2.86,-0.89,1.88
240,"Rajon Rondo, PG",BOS,30,33.3,0.99,-1.92,-0.93,0.89
241,"Derrick Favors, PF",UTAH,73,30.2,-2.54,1.61,-0.93,1.90
242,"CJ McCollum, SG",POR,38,12.5,-0.14,-0.79,-0.93,0.41
